seq,CODE,시설 이름,종목,이용료,전화번호,주소
62,A062,"산동교 친수지구
축구장",축구,무료,062-410-6793,광주 북구 동림동 115-2
63,A063,산수 게이트볼장,게이트볼,유료,062-608-2434,광주 동구 산수동 401-8
64,A064,삼정게이트볼장,게이트볼,유료,,광주 북구 삼정로 36
65,A065,상무게이트볼장,게이트볼,,062-360-7193,광주광역시 서구 쌍촌동 927-12
66,A066,상무시민공원 농구장,농구,,062-360-7850,광주광역시 서구 상무공원로 101
67,A067,상무시민공원 배구장,배구,,062-360-7850,광주광역시 서구 상무공원로 101
68,A068,상무시민공원 배드민턴장,배트민턴,,062-360-7850,광주광역시 서구 상무공원로 101
69,A069,"상무시민공원
종합운동장",축구,유료,,
70,A070,"상무시민공원
테니스장",테니스,무료,062-360-7850,광주 서구 상무공원로 101
71,A071,상무인공암벽장,인공암벽,,062-360-7193,광주광역시 서구 상무누리로 148
72,A072,서광게이트볼장,게이트볼,,062-360-7723,광주광역시 서구 쌍촌동 375-15
73,A073,서구 국민체육센터,생활체육관,유료,062-350-4565,광주 서구 풍암동 396-19
74,A074,"서구문화센터
체육관",생활체육관,유료,062-350-4567,광주 서구 금화로 278
75,A075,서창게이틀볼장,게이트볼,유료,062-360-7193,광주광역시 서구 서창둑길 18
76,A076,서창동 축구장,축구,,062-360-7193,광주광역시 서구 서창동 748번지 외 9필지
77,A077,"서향순올림픽제패
기념 양궁장",양궁,,062-604-1400,광주 서구 금화로 278 염주체육관 내 서향순 양궁장
78,A078,송무정,국궁,,062-941-0098,광주 광산구 금봉로 22-41
79,A079,송정1교구장,축구,무료,062-960-9924,광주 광산구 황룡동
80,A080,수완 인라인롤러경기장,인라인스케이트,,062-959-9950,광주 광산구 장덕로96번길 15
81,A081,승촌게이트볼장,전천후 게이트볼장,유료,062-607-2841,광주광역시 남구 승촌2길 21 (승촌동 757)
82,A082,신암근린공원 테니스장,테니스,,062-360-7723,광주광역시 서구 풍암2로 26
83,A083,쌍암공원 인조잔디 축구장,축구,유료,062-960-9924,광주 광산구 쌍암동 653-1
84,A084,안청공원테니스장,테니스,유료,062-960-9924,광주 광산구 안청동 736-1
85,A085,여성발전센터 수영장,수영,유료,062-371-8855,광주 서구 치평동 상무자유로 73 여성발전센터 지하1층 수영장
86,A086,염주 종합체육관,구기 체육관,유료,062-604-1821,광주 서구 금화로 278
87,A087,염주 테니스장,테니스,유료,062-372-8145,광주 서구 금화로 278
88,A088,염주골프센터,골프,유료,?062- 380-6870~1,광주광역시 서구 금화로 278 (풍암동)
89,A089,"올림픽기념
국민생활관",생활체육관,유료,062-604-1823,광주 서구 금화로 278
90,A090,용산 게이트볼장,게이트볼,유료,062-608-2434,광주 동구 용산동 151
91,A091,용산생활체육시설 인조잔디구장,축구,유료,,광주 동구 화산로 318-26
92,A092,용흥공원 게이트볼장,게이트볼,유료,,광주 북구 우치로100번길 26
93,A093,"운남생활체육시설단지
야구장",야구,무료,062-960-9923,광주 광산구 운남동 6
94,A094,운남체육시설단지 축구장,축구,무료,062-960-9924,광주 광산구 운남동 82-1
95,A095,월곡공원테니스장,테니스,유료,062-960-9924,광주 광산구 월곡동 587
96,A096,유덕동 족구장,족구,,062-360-7193,광주광역시 서구 유촌동 30
97,A097,,,,,
98,A098,"장애인종합복지관
체육관",생활체육관,유료,062-513-0977,광주 북구 북문대로 219
99,A099,전천후게이트볼장,게이트볼,유료,062-960-9923,광주 광산구 쌍암동 695-3
100,A100,전천후테니스장,테니스,유료,,광주 서구 금화로 278
101,A101,중흥 정구장,테니스,유료,062-520-2142,광주 북구 중흥동 347-1
102,A102,진월국제테니스장,테니스,,062-714-1394,광주 남구 화산로 30
103,A103,첨단 론볼장,론볼,,062-972-9525,광주광역시 북구 오룡동 1113
104,A104,첨단 생활 체육공원 족구장,족구,,062-960-9928,광주 광산구 산월동 879
105,A105,첨단 실내배드민턴장,배드민턴,유료,,
106,A106,첨단 인라인스케이트장,인라인스케이트,,062-960-9928,광주 광산구 쌍암동 695-3
107,A107,첨단 전천후게이트볼장,게이트볼,,062-960-9928,광주 광산구 첨단강변로 76
108,A108,첨단다목적체육센터,배드민턴,유료,062-960-9988,광주 광산구 첨단강변로 76
109,A109,첨단대상파크골프장,골프,,062-954-7330,광주광역시 북구 추암로 190
110,A110,첨단종합운동장 소프트볼장(3면),소프트볼,무료,062-960-9924,광주 광산구 산월동 57
111,A111,"첨단종합운동장
야구장",야구,무료,062-960-9923,광주 광산구 산월동 56
112,A112,"첨단종합운동장
축구장",축구,무료,062-960-9924,광주 광산구 산월동 35-1
113,A113,첨단체육시설 게이트볼장,게이트볼,무료,062-960-9922~4,광산구 산월동 45번지
114,A114,치평게이트볼장,게이트볼,,062-360-7723,광주광역시 서구 치평동 1280-1
115,A115,테이크의 스킨스쿠버,수영,유료,0507-1327-0970,광주 서구 염화로 114
116,A116,풍암게이트볼장,게이트볼,,062-360-7723,광주광역시 서구 풍암2로 26
117,A117,풍암생활체육공원 농구장,농구,,062-360-7193,광주광역시 서구 풍암공원로 20
118,A118,풍암생활체육공원 배구장,배구,,062-360-7193,광주광역시 서구 풍암공원로 20
119,A119,풍암생활체육공원 정구장,정구,무료,062-360-7193,광주광역시 서구 풍암공원로 20
120,A120,풍암생활체육공원 족구장,족구,,062-360-7193,광주광역시 서구 풍암공원로 20
121,A121,풍영 체육시설단 축구장,축구,유료,062-960-9924,광주 광산구 우산동 594
122,A122,풍영 체육시설단지 정구장,테니스,,062-960-9924,광주 광산구 풍영철길로 106-2
123,A123,하남스포츠파크 축구장,축구,유료,062-960-9924,광주 광산구 하남동 499-3
124,A124,홀스앤팜 승마클럽,승마,유료,062-942-3400,광주 광산구 동곡서호길 21-36
